Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Christopher Street,"118,453","4,755","2,395","1,995","1,896","3,821","95,104","9,581","9,976","3,792",1,2017
9thStreet,"115,466","4,304","3,035","2,578","2,175","3,725","86,086","12,141","12,889","4,350",1,2017
14thStreet,"215,494","8,670","4,090","3,486","4,155","6,951","173,394","16,361","17,429","8,310",1,2017
23rdStreet,"219,097","9,486","2,754","2,326","3,366","7,068","189,714","11,018","11,632","6,733",1,2017
33rdStreet,"835,647","34,148","14,289","13,070","15,094","26,956","682,956","57,156","65,348","30,187",1,2017
UPTOWN SUBTOTAL,"1,504,157","61,363","26,563","23,455","26,686","48,521","1,227,254","106,257","117,274","53,372",1,2017
WTC,"1,329,577","57,540","16,562","14,810","19,236","42,890","1,150,807","66,248","74,049","38,473",1,2017
NEW YORK SUBTOTAL,"2,833,734","118,903","43,125","38,265","45,922","91,411","2,378,061","172,505","191,323","91,845",1,2017
Newark,"681,575","29,428","8,961","6,870","11,409","21,986","588,562","35,844","34,351","22,818",1,2017
Harrison,"198,626","8,568","2,666","2,024","3,240","6,407","171,363","10,663","10,119","6,481",1,2017
Journal Square,"628,253","25,349","12,013","9,501","12,858","20,266","506,979","48,052","47,506","25,716",1,2017
Grove Street,"489,797","20,123","9,362","6,639","8,346","15,800","402,459","37,449","33,197","16,692",1,2017
Exchange Place,"395,568","17,748","3,839","3,172","4,700","12,760","354,954","15,355","15,859","9,400",1,2017
Pavonia/ Newport,"437,094","18,398","6,692","5,672","6,997","14,100","367,969","26,770","28,361","13,994",1,2017
Hoboken,"658,224","28,329","10,350","6,462","8,968","21,233","566,579","41,401","32,308","17,936",1,2017
NEW JERSEY SUBTOTAL,"3,489,137","147,943","53,883","40,340","56,518","112,553","2,958,865","215,534","201,701","113,037",1,2017
Christopher Street,"113,971","4,785","2,922","2,222","2,486","4,070","90,908","11,689","8,888","2,486",2,2017
9thStreet,"122,682","4,859","3,872","2,979","2,955","4,382","92,322","15,488","11,917","2,955",2,2017
14thStreet,"206,402","8,782","4,870","3,814","4,815","7,372","166,850","19,482","15,255","4,815",2,2017
23rdStreet,"203,408","9,393","3,059","2,287","3,558","7,265","178,466","12,235","9,149","3,558",2,2017
33rdStreet,"769,450","33,776","15,641","12,052","16,927","27,480","641,753","62,564","48,206","16,927",2,2017
UPTOWN SUBTOTAL,"1,415,913","61,595","30,364","23,354","30,741","50,568","1,170,299","121,458","93,415","30,741",2,2017
WTC,"1,222,643","56,267","18,328","14,494","22,289","43,666","1,069,068","73,310","57,976","22,289",2,2017
NEW YORK SUBTOTAL,"2,638,556","117,862","48,692","37,848","53,030","94,234","2,239,367","194,768","151,391","53,030",2,2017
Newark,"651,669","29,919","10,177","7,287","13,347","23,274","568,467","40,708","29,147","13,347",2,2017
Harrison,"184,464","8,440","3,080","2,028","3,671","6,588","160,361","12,320","8,112","3,671",2,2017
Journal Square,"600,963","25,844","14,022","9,746","14,863","21,463","491,029","56,088","38,983","14,863",2,2017
Grove Street,"461,370","20,081","10,344","7,130","9,925","16,478","381,547","41,376","28,522","9,925",2,2017
Exchange Place,"363,282","17,264","4,306","3,098","5,652","12,974","328,015","17,223","12,392","5,652",2,2017
Pavonia/ Newport,"427,870","19,093","8,348","5,857","8,289","15,281","362,761","33,392","23,428","8,289",2,2017
Hoboken,"613,009","27,775","11,220","7,360","10,962","21,893","527,726","44,881","29,440","10,962",2,2017
NEW JERSEY SUBTOTAL,"3,302,627","148,416","61,497","42,506","66,709","117,951","2,819,906","245,988","170,024","66,709",2,2017
Christopher Street,"125,693","4,674","2,558","1,989",0,"4,055","107,507","10,230","7,956",0,3,2017
9thStreet,"133,344","4,682","3,664","2,749",0,"4,301","107,690","14,658","10,996",0,3,2017
14thStreet,"236,602","8,776","4,999","3,688",0,"7,632","201,856","19,996","14,750",0,3,2017
23rdStreet,"240,484","9,493","3,178","2,359",0,"7,758","218,334","12,713","9,437",0,3,2017
33rdStreet,"912,960","34,940","15,550","11,784",0,"29,450","803,622","62,202","47,136",0,3,2017
UPTOWN SUBTOTAL,"1,649,083","62,565","29,949","22,569",0,"53,196","1,439,009","119,799","90,275",0,3,2017
WTC,"1,420,924","56,295","17,715","13,819",0,"45,836","1,294,787","70,861","55,276",0,3,2017
NEW YORK SUBTOTAL,"3,070,007","118,860","47,664","36,388",0,"99,032","2,733,796","190,660","145,551",0,3,2017
Newark,"758,580","29,978","10,036","7,233",0,"24,470","689,502","40,146","28,932",0,3,2017
Harrison,"215,930","8,346","4,106","1,888",0,"6,965","191,956","16,422","7,552",0,3,2017
Journal Square,"679,710","25,612","13,166","9,493",0,"21,926","589,073","52,664","37,973",0,3,2017
Grove Street,"527,818","19,998","10,029","6,935",0,"17,026","459,963","40,116","27,739",0,3,2017
Exchange Place,"422,852","17,149","4,096","3,012",0,"13,640","394,418","16,384","12,050",0,3,2017
Pavonia/ Newport,"487,730","18,913","7,570","5,612",0,"15,733","435,002","30,279","22,449",0,3,2017
Hoboken,"712,686","27,888","10,921","6,897",0,"22,990","641,414","43,684","27,588",0,3,2017
NEW JERSEY SUBTOTAL,"3,805,306","147,884","59,924","41,070",0,"122,752","3,401,328","239,695","164,283",0,3,2017
Christopher Street,"130,805","5,180","2,990","2,451",0,"4,360","103,601","14,951","12,253",0,4,2017
9thStreet,"141,659","5,250","4,010","3,323",0,"4,722","104,992","20,050","16,617",0,4,2017
14thStreet,"239,151","9,434","5,700","4,393",0,"7,972","188,689","28,498","21,964",0,4,2017
23rdStreet,"230,291","9,953","3,561","2,684",0,"7,676","199,065","17,804","13,422",0,4,2017
33rdStreet,"974,397","40,491","18,158","14,757",0,"32,480","809,825","90,788","73,784",0,4,2017
UPTOWN SUBTOTAL,"1,716,303","70,308","34,419","27,608",0,"57,210","1,406,172","172,091","138,040",0,4,2017
WTC,"1,367,373","59,318","19,897","16,307",0,"45,579","1,186,350","99,486","81,537",0,4,2017
NEW YORK SUBTOTAL,"3,083,676","129,626","54,316","43,915",0,"102,789","2,592,522","271,577","219,577",0,4,2017
Newark,"744,257","32,099","11,034","9,423",0,"24,809","641,971","55,169","47,117",0,4,2017
Harrison,"210,646","8,824","4,399","2,436",0,"7,022","176,470","21,996","12,180",0,4,2017
